Wavelength	1a-R	1a-T
28	54.49	39.87
28.1	54.49	39.48
28.2	54.45	39.02
28.3	54.39	38.51
28.4	54.33	38.05
28.5	54.28	37.66
28.6	54.30	37.58
28.7	54.37	37.73
28.8	54.44	37.87
28.9	54.45	37.88
29	54.38	37.59
29.1	54.20	36.94
29.2	53.93	36.01
29.3	53.59	34.83
29.4	53.26	33.71
29.5	52.94	32.68
29.6	52.65	31.79
29.7	52.37	30.95
29.8	52.09	30.15
29.9	51.82	29.38
30	51.55	28.65
